OBJECTID,INDEX,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y
210,5809277,1144154,12/24/2009 5:00:00 AM,640,MARWILL ST,ALMORE AVE,,Local,North York,43.746845,-79.44449,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,48,South,Other,,,,Pedestrian hit at mid-block,Walking on Roadway with Traffic,Normal,,,,Yes,,Yes,,,,,,,,,,,33,Clanton Park,33,Clanton Park (33),D32,625241.652937155,4844930.85268044
211,6096025,1146660,1/8/2010 5:00:00 AM,1810,FINCH AVE W,YORK GATE BLVD,,Major Arterial,Etobicoke York,43.756945,-79.51989,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,9,North,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,,,24,Black Creek,24,Black Creek (24),D31,619150.741352879,4845941.37509713
212,6253428,1146864,1/10/2010 5:00:00 AM,329,KING ST E,PARLIAMENT ST,,Major Arterial,Toronto and East York,43.652745,-79.36319,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Approaching,Driver,35 to 39,Fatal,1,East,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking,,,,,,,,,Yes,,,,,,Yes,Yes,,,,73,Moss Park,73,Moss Park (73),D51,631993.901710466,4834605.85378643
213,6097035,1147341,1/12/2010 5:00:00 AM,1240,MARTIN GROVE RD,EGLINTON AVE W,,Major Arterial,Etobicoke York,43.674445,-79.56319,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,2,East,Other,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,Yes,,Yes,Yes,,,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),D22,615823.838099187,4836717.22886627
214,6097039,1147342,1/12/2010 5:00:00 AM,1317,DUNDAS ST W,RONCESVALLES AVE,,Minor Arterial,Toronto and East York,43.653845,-79.45179,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,3,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,,,86,Roncesvalles,86,Roncesvalles (86),D11,624846.764216315,4834590.90517273
215,6098472,1148390,1/18/2010 5:00:00 AM,655,MOUNT PLEASANT RD,EGLINTON AVE E,,Major Arterial,North York,43.708445,-79.39019,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,4,South,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing with right of way,Normal,,,,Yes,,,,,Yes,,,,Yes,,,,99,Mount Pleasant East,99,Mount Pleasant East (99),D53,629696.50064103,4840749.50433898
216,6098826,1148773,1/20/2010 5:00:00 AM,700,DUFFERIN ST,PRESTON RD,,Major Arterial,Toronto and East York,43.691345,-79.44849,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,5,East,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Unknown,,,,Yes,,Yes,,,,,Yes,,,,,,109,Caledonia-Fairbank,109,Caledonia-Fairbank (109),D13,625034.978747655,4838760.75080051
217,6099390,1149291,1/22/2010 5:00:00 AM,1132,DANFORTH AVE,BROADVIEW AVE,,Major Arterial,Toronto and East York,43.676145,-79.35889,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,6,East,Other,,,,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,,,Yes,,,,,Yes,,,,68,North Riverdale,68,North Riverdale (68),D55,632289.252141127,4837211.58693161
218,6099927,1149557,1/24/2010 5:00:00 AM,32,QUEEN ST E,MUNRO ST,,Major Arterial,Toronto and East York,43.658545,-79.35139,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,7,North,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Inattentive,,,,Yes,,,,,Yes,,,,,,,,70,South Riverdale,70,South Riverdale (70),D55,632932.676678101,4835268.8586146
219,6100287,1149753,1/25/2010 5:00:00 AM,1825,SYMINGTON AVE,DAVENPORT RD,,Minor Arterial,Toronto and East York,43.670745,-79.45329,At Intersection,Traffic Signal,Clear,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,8,South,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,,,,Yes,,Yes,,,,,,,,,,,91,Weston-Pelham Park,91,Weston-Pellam Park (91),D11,624690.813188144,4836465.61661196
220,6107407,1153073,2/15/2010 5:00:00 AM,9,LAWRENCE AVE E,PHARMACY AVE,,Major Arterial,Scarborough,43.743245,-79.30459,,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Driver,25 to 29,Fatal,10,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,,,,,,119,Wexford/Maryvale,119,Wexford/Maryvale (119),D41,636513.979125134,4844752.04499068
221,6914924,1153473,2/18/2010 5:00:00 AM,18,PHARMACY AVE,ST BEDES RD,,Minor Arterial,Scarborough,43.704645,-79.28869,At Intersection,No Control,Clear,Dark,Wet,Fatal,SMV Other,Passenger,15 to 19,Fatal,11,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),D41,637882.787875275,4840491.27314065
222,6111457,1154990,2/28/2010 5:00:00 AM,2300,VILLIERS ST,MUNITION ST,,Local,Toronto and East York,43.648545,-79.34989,,No Control,Clear,Dark,Dry,Fatal,SMV Unattended Vehicle,Driver,50 to 54,Fatal,12,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Other,,,,,,,,,Yes,,,,,,Yes,Yes,,,,70,South Riverdale,70,South Riverdale (70),D51,633075.713757728,4834160.63039151
223,6112331,1155407,3/2/2010 5:00:00 AM,1605,HORNER AVE,EDILOU DR,,Minor Arterial,Etobicoke York,43.604745,-79.53139,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,13,South,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,,,,Yes,,,,Yes,,,,,,,,,20,Alderwood,20,Alderwood (20),D22,618524.276355037,4829021.06300635
224,6115276,1156744,3/9/2010 5:00:00 AM,1504,STEELES AVE W,GIHON SPRING DR,,Major Arterial,Etobicoke York,43.759545,-79.59529,,No Control,Clear,Daylight,Dry,Fatal,Approaching,Driver,45 to 49,Fatal,14,East,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,Yes,,,,,,,,,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),D23,613076.007047768,4846124.43925957
225,6116479,1157272,3/12/2010 5:00:00 AM,523,ROYAL DR,DON VALLEY PARKWAY  N,,,Toronto and East York,43.672745,-79.35879,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Truck Driver,30 to 34,Fatal,15,South,Truck - Open,Going Ahead,Speed too Fast For Condition,Normal,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,68,North Riverdale,68,North Riverdale (68),D55,632304.784770216,4836834.13016251
226,6253540,1162012,4/13/2010 4:00:00 AM,559,STEELES AVE E,BIRCHMOUNT RD,,Major Arterial,Scarborough,43.821345,-79.31689,At Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Passenger,70 to 74,Fatal,16,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,,Yes,116,Steeles,116,Steeles (116),D42,635347.214848062,4853406.07602718
227,6139522,1167187,5/6/2010 4:00:00 AM,1630,WELLINGTON ST W,SIMCOE ST,,Minor Arterial,Toronto and East York,43.645845,-79.38629,,No Control,Clear,Daylight,Dry,Fatal,Angle,Passenger,80 to 84,Fatal,17,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,164,Wellington Place,77,Waterfront Communities-The Island (77),D52,630145.977858618,4833803.03320043
228,6142299,1168396,5/13/2010 4:00:00 AM,1136,DUNDAS ST W,COLLEGE ST,,Minor Arterial,Toronto and East York,43.650445,-79.44189,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,18,North,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,,,83,Dufferin Grove,83,Dufferin Grove (83),D11,625652.192269677,4834228.23354713
229,6145164,1169790,5/25/2010 4:00:00 AM,1028,ORTON PARK RD,AMBOY RD,,Minor Arterial,Scarborough,43.767545,-79.20709,,No Control,Clear,Daylight,Dry,Fatal,Approaching,Motorcycle Driver,50 to 54,Fatal,19,North,Motorcycle,Going Ahead,Driving Properly,Unknown,,,,,,,,,Yes,Yes,,,,,,,,,,135,Morningside,135,Morningside (135),D43,644306.323965826,4847616.22960527
230,6148451,1171250,6/3/2010 4:00:00 AM,120,DUFFERIN ST,ST CLAIR AVE W,,Major Arterial,Toronto and East York,43.677945,-79.44309,At Intersection,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,20,West,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,,,,Yes,,Yes,,,,,,,,,,,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),D13,625498.103255426,4837280.65540103
231,6150246,1171997,6/6/2010 4:00:00 AM,822,UNIVERSITY AVE,ORDE ST,,Major Arterial,Toronto and East York,43.658744,-79.389987,,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,22,West,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Unknown,,,,Yes,,,,,Yes,,,,,,,,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),D52,629820.015678226,4835229.84549123
232,6152497,1172992,6/12/2010 4:00:00 AM,916,ISLINGTON AVE,THE WESTWAY,,Major Arterial,Etobicoke York,43.688645,-79.54289,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Driver,25 to 29,Fatal,21,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,,,,,,,,,Yes,,,,,,,Yes,Yes,,,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),D23,617432.563739858,4838322.87209371
233,6161273,1176916,7/13/2010 4:00:00 AM,2035,KIPLING AVE,BELFIELD RD,,Major Arterial,Etobicoke York,43.704845,-79.56349,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Driver,65 to 69,Fatal,23,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown,,,,,,,,,Yes,,Yes,,,,,Yes,Yes,,,1,West Humber-Clairville,1,West Humber-Clairville (1),D23,615741.169533572,4840093.13668624
234,6279258,1177531,7/16/2010 4:00:00 AM,1647,JANE ST,DUNDAS ST W,,Major Arterial,Toronto and East York,43.665745,-79.49119,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Passenger,85 to 89,Fatal,25,,Other,,,,,,,,,,,,Yes,,,Yes,,Yes,,Yes,,,,89,Runnymede-Bloor West Village,89,Runnymede-Bloor West Village (89),D11,621645.509083269,4835854.03093639
235,6279259,1177531,7/16/2010 4:00:00 AM,1647,JANE ST,DUNDAS ST W,,Major Arterial,Toronto and East York,43.665745,-79.49119,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Passenger,90 to 94,Fatal,24,,Other,,,,,,,,,,,,Yes,,,Yes,,Yes,,Yes,,,,89,Runnymede-Bloor West Village,89,Runnymede-Bloor West Village (89),D11,621645.509083269,4835854.03093639
236,6162947,1177627,7/18/2010 4:00:00 AM,110,GREENCEDAR CRCT,DAPHNE RD,,Collector,Scarborough,43.756845,-79.22939,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,15 to 19,Fatal,26,,Other,,,,,,,,,,,,Yes,,,,,Yes,,,,,,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),D43,642536.846977568,4846389.2058739
237,6167895,1179891,7/29/2010 4:00:00 AM,1149,YONGE ST,YORK MILLS RD,,Major Arterial,North York,43.744145,-79.40669,,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Driver,85 to 89,Fatal,28,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,,,,,,,,,Yes,,,,,,,Yes,Yes,,,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),D32,628290.909621784,4844688.82094495
238,6168415,1180110,7/31/2010 4:00:00 AM,700,GRANTBROOK ST,CHARLTON BLVD,,Collector,North York,43.781245,-79.43289,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Angle,Passenger,25 to 29,Fatal,27,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,36,Newtonbrook West,36,Newtonbrook West (36),D32,626103.334412061,4848769.09285871
239,6179026,1184434,8/20/2010 4:00:00 AM,2215,LAKE SHORE BLVD E,JOSEPH DUGGAN  RD,,Major Arterial,Toronto and East York,43.664344,-79.306186,,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,29,North,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Unknown,,,,Yes,,,,,Yes,,,,,,,,70,South Riverdale,70,South Riverdale (70),D55,636564.512645774,4835986.33404342
240,6254162,1189134,9/14/2010 4:00:00 AM,1055,SPADINA AVE,SULLIVAN ST,,Major Arterial,Toronto and East York,43.650945,-79.39729,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,30,West,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Unknown,,,,Yes,,,,,Yes,,,,,,,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14,629247.877701852,4834352.26330899
241,6279810,1189375,9/15/2010 4:00:00 AM,418,WESTON RD,CHURCH ST,,Minor Arterial,Etobicoke York,43.703245,-79.52599,,No Control,Clear,Dark,Dry,Fatal,SMV Unattended Vehicle,Driver,25 to 29,Fatal,31,North,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking,,,,,,,,,Yes,,,,,,Yes,Yes,,,,113,Weston,113,Weston (113),D12,618765.767540232,4839968.47034002
242,6196038,1191546,9/26/2010 4:00:00 AM,2235,HIGHWAY 27  N,VICE REGENT BLVD,,Major Arterial,Etobicoke York,43.711345,-79.59279,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,25 to 29,Fatal,32,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,1,West Humber-Clairville,1,West Humber-Clairville (1),D23,613368.166457868,4840774.56339824
243,6279955,1191582,9/26/2010 4:00:00 AM,2309,LAKE SHORE BLVD W,COLBORNE LODGE DR,,Major Arterial,Toronto and East York,43.637945,-79.45899,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Cyclist Collisions,Cyclist,25 to 29,Fatal,33,South,Bicycle,Going Ahead,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking,,Yes,Yes,,,,,,,,,,,85,South Parkdale,85,South Parkdale (85),D11,624298.943928865,4832814.19867011
244,6201189,1193747,10/7/2010 4:00:00 AM,2044,DORIS AVE,HOLLYWOOD AVE,,Minor Arterial,North York,43.765745,-79.40909,,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,34,West,Other,,,,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,,,,Yes,,Yes,,,,,,,Yes,,,,151,Yonge-Doris,51,Willowdale East (51),D32,628051.584258765,4847084.10948046
245,6221252,1202173,11/17/2010 5:00:00 AM,818,DUNDAS ST W,KENNETH AVE,,Minor Arterial,Toronto and East York,43.662445,-79.45589,,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,35,West,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Unknown,,,,Yes,,,,Yes,,,,,,,,,88,High Park North,88,High Park North (88),D11,624498.364840895,4835539.88709597
246,6280489,1202989,11/19/2010 5:00:00 AM,744,LOWER SPADINA AVE,LAKE SHORE BLVD W,,Major Arterial,Toronto and East York,43.638445,-79.39219,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,60 to 64,Fatal,36,East,Bicycle,Pulling Away from Shoulder or Curb,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Normal,,Yes,,,,Yes,,,,,,,,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),D52,629686.057930009,4832971.93198319
247,6226426,1204296,11/26/2010 5:00:00 AM,1719,HUMEWOOD GDNS,RUSHTON RD,,Local,Toronto and East York,43.682945,-79.42839,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,38,North,Other,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,,Yes,,,,106,Humewood-Cedarvale,106,Humewood-Cedarvale (106),D13,626672.517306115,4837858.32004136
248,6256934,1205835,12/5/2010 5:00:00 AM,421,422 BRIMORTON DR,,,Collector,Scarborough,43.769045,-79.23759,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,25 to 29,Fatal,37,West,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking,,,,,,,,,Yes,,,,,Yes,,,,,,142,Woburn North,137,Woburn (137),D43,641847.888417278,4847730.12481078
249,6281001,1206992,12/11/2010 5:00:00 AM,1935,ST CLAIR AVE E,DANFORTH RD,,Major Arterial,Scarborough,43.716845,-79.25989,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,40,East,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Inattentive,,,,Yes,,,,,Yes,,,,,,,,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),D41,640174.829225966,4841894.56581598
250,6258403,1207370,12/14/2010 5:00:00 AM,216,KINGSTON RD,ST QUENTIN AVE,,Major Arterial,Scarborough,43.719145,-79.23929,,No Control,Snow,Dark,Packed Snow,Fatal,SMV Other,Driver,20 to 24,Fatal,39,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,Yes,,,,,,123,Cliffcrest,123,Cliffcrest (123),D43,641828.858970925,4842185.0620647
251,6281283,1208694,12/18/2010 5:00:00 AM,2256,MCCOWAN RD,MELDAZY DR,,Major Arterial,Scarborough,43.763845,-79.24839,,No Control,Clear,Dark,Dry,Fatal,Approaching,Driver,55 to 59,Fatal,41,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Inattentive,,,,,,,,,Yes,,,,,,,,,,,156,Bendale-Glen Andrew,127,Bendale (127),D43,640990.855193785,4847134.1387928
252,6281390,1209207,12/23/2010 5:00:00 AM,2027,BATHURST ST,BRIDGMAN AVE,,Major Arterial,Toronto and East York,43.673945,-79.41469,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,42,Unknown,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Playing or Working on Highway,Normal,,,,Yes,,,,,Yes,,Yes,,Yes,,,,96,Casa Loma,96,Casa Loma (96),D13,627795.859678423,4836879.76433075
253,6281421,1209440,12/28/2010 5:00:00 AM,1734,STEELES AVE E,SILVER STAR BLVD,,Major Arterial,Scarborough,43.825345,-79.29999,At Intersection,Traffic Signal,Snow,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,43,North,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,,,,Yes,,Yes,,,,,Yes,,,,,,NSA,NSA,NSA,NSA,NSA,636697.111306184,4853878.13138215
254,6583562,1212031,1/11/2011 5:00:00 AM,1023,QUEEN ST W,BATHURST ST,,Major Arterial,Toronto and East York,43.647245,-79.40389,At Intersection,No Control,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,unknown,Fatal,1,North,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Unknown,,,,Yes,,,,,Yes,,,,,,,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14,628723.529805409,4833931.07163685
255,6586496,1213866,1/21/2011 5:00:00 AM,519,DUFFERIN ST,NORTON AVE W,,Major Arterial,Toronto and East York,43.678645,-79.44329,,No Control,Snow,Dark,Slush,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,2,Unknown,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Person Getting on/off Vehicle,Unknown,,,,Yes,,,,,Yes,,,,,,,,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),D13,625480.522544467,4837358.09723101
256,6588038,1214725,1/25/2011 5:00:00 AM,2058,BATHURST ST,FOREST RIDGE DR,,Major Arterial,North York,43.706645,-79.42669,,No Control,Clear,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,4,West,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,,,,Yes,,Yes,,,,,,,Yes,,,,102,Forest Hill North,102,Forest Hill North (102),D53,626759.595284277,4840493.1299912
257,6588942,1215284,1/29/2011 5:00:00 AM,0,BLOOR ST W,CONCORD AVE,,Major Arterial,Toronto and East York,43.661745,-79.42689,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,3,East,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing with right of way,Had Been Drinking,,,,Yes,,,,,Yes,,,,Yes,,,,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),D14,626838.070787215,4835506.0682402
258,6591881,1216987,2/10/2011 5:00:00 AM,828,DUNDAS ST W,NEILSON DR,,Major Arterial,Etobicoke York,43.627345,-79.56239,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,5,South,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,Yes,,Yes,,,,12,Markland Wood,12,Markland Wood (12),D22,615978.945669589,4831487.29439356
259,6804373,1224710,3/24/2011 4:00:00 AM,2225,SHEPPARD AVE E,MURISON BLVD,,Major Arterial,Scarborough,43.799145,-79.21289,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,6,South,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,Yes,Yes,,,,146,Malvern East,132,Malvern (132),D42,643763.72155462,4851115.82105886
260,6607902,1224921,3/28/2011 4:00:00 AM,1152,NORTH QUEEN ST,ATOMIC AVE,,Minor Arterial,Etobicoke York,43.621845,-79.54319,,No Control,Clear,Daylight,Dry,Fatal,Approaching,Driver,70 to 74,Fatal,7,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,Yes,,,,,,,,,159,Etobicoke City Centre,14,Islington-City Centre West (14),D22,617538.632707687,4830903.45254662
261,6622971,1230701,4/30/2011 4:00:00 AM,1837,F G GARDINER XY Expr E,CHERRY ST,,Major Arterial,Toronto and East York,43.649045,-79.35619,,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Motorcycle Driver,25 to 29,Fatal,8,East,Motorcycle,Going Ahead,Exceeding Speed Limit,Had Been Drinking,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51,632566.534719607,4834206.07856704
262,6637557,1237771,6/11/2011 4:00:00 AM,1308,DEWLANE DR,BATHURST ST,,Major Arterial,North York,43.785945,-79.44589,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,9,West,Other,,,,Pedestrian hit at private driveway,Other,Normal,,,,Yes,,Yes,,,,,,,,,,,36,Newtonbrook West,36,Newtonbrook West (36),D32,625047.432601942,4849271.38030474
263,6804593,1239243,6/17/2011 4:00:00 AM,1432,WEDGEWOOD DR,YONGE ST,,Major Arterial,North York,43.788945,-79.41779,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,5 to 9,Fatal,10,South,Other,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,,Yes,,,,50,Newtonbrook East,50,Newtonbrook East (50),D32,627302.077164994,4849647.40836388
264,6804645,1241204,6/29/2011 4:00:00 AM,1135,STEELES AVE W,BATHURST ST,,Major Arterial,North York,43.792345,-79.44589,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,11,East,Other,,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,,,,,,,,,,Yes,35,Westminster-Branson,35,Westminster-Branson (35),D32,625034.087104936,4849982.19922822
265,6646622,1241592,7/1/2011 4:00:00 AM,2229,WARDEN AVE,HUNTINGWOOD DR,,Major Arterial,Scarborough,43.786906,-79.311565,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,12,West,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,,,,Yes,,Yes,,,,,Yes,,,,,,148,East L'Amoreaux,117,L'Amoreaux (117),D42,635853.474329959,4849589.798721
266,6649277,1242674,7/8/2011 4:00:00 AM,414,BLACK CREEK DR,LAWRENCE AVE W,,Major Arterial,Etobicoke York,43.707345,-79.49739,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,25 to 29,Fatal,13,North,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,,,,,,,28,Rustic,28,Rustic (28),D12,621061.927726281,4840465.19943135
